% Model,spaceplate_double_3d_TA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 8 2025, 10:49"
% Table,Table 18 - Surface Average 5
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
17500,0.0034287838940445354,0.0015858769402927774,0.0016212124610444185,4.975997093608896
17750,0.006133921416184479,0.009960742455857853,0.009824128179972658,8.410576207759817
18000,0.016243605494640052,3.6058882044666833,2.3298154294289177,8.652696681746606
18250,0.08157065230862333,0.0935384657305353,0.10373658291056288,8.362250222393346
18500,0.8070854486876271,0.2027194337205716,0.2129103279225974,4.394413268978068
18750,0.30701907805979367,5.926390748424296,5.89974560168446,1.0031385150968404
19000,0.022743304542890114,0.5907687250939503,0.6953230372350172,0.2696832617705207
19250,0.0038632139691424255,0.017972362717828,0.020103366231718663,0.09561241439600082
19500,0.0011170010857264288,0.002873197253514594,0.0031537936115623106,0.041714699659364134
19750,4.4989583875700625E-4,9.636633017197321E-4,0.001047168014765405,0.021244884670063385
20000,2.2895856707811363E-4,5.168980168976118E-4,5.578772132052658E-4,0.012214702393107053
20250,1.3995053668817663E-4,4.0112584228885683E-4,4.3061207770836923E-4,0.007759996150165532
20500,1.0006155217754618E-4,4.388595277722867E-4,4.688615751198429E-4,0.005371270027155922
20750,8.2759233945349E-5,6.985787452961049E-4,7.426405078809269E-4,0.004013209721183963
21000,7.934211733821079E-5,0.0018185380923399937,0.0019212169193778216,0.0032174852231201
21250,8.977990473877986E-5,0.010878259569976704,0.01136864970105388,0.0027584251797616276
21500,1.2539356641976505E-4,0.5465564713899549,0.5531996262912353,0.002525565482147586
21750,2.385005348533153E-4,0.2254943702362093,0.24997994966811216,0.0024712049664984245
22000,7.669211004739121E-4,0.0066413059022503405,0.007189693870312031,0.002591368155083551
22250,0.006689194117120969,0.0011849425403470133,0.001271262710915274,0.0029276812545565374
22500,0.10231597170519176,4.4702052712249074E-4,4.771020435328998E-4,0.003594313251295296
22750,0.012943100268921636,2.66639318154246E-4,2.834903520940679E-4,0.004858915529045327
23000,0.001956424284393833,2.265875637817454E-4,2.4010871600210664E-4,0.007380355065812013
23250,7.496163153770684E-4,2.664836594652459E-4,2.814790275351751E-4,0.012998516851967734
23500,4.722699208361977E-4,4.4399443505216743E-4,4.6735301100276353E-4,0.02790147979399966
23750,4.093923660320358E-4,0.0011500848399401782,0.0012053857123341736,0.07872867504488056
24000,4.546545542225453E-4,0.005981494299839227,0.0062269518430778945,0.30904520935875934
24250,6.342641644371941E-4,0.15432587243589457,0.15790644437285756,1.040513276407303
24500,0.0011325506227852311,2.3816987757368366,2.591258524800406,0.6317585665467486
24750,0.002783206983198107,0.02478038479614191,0.02639232746552979,0.11972430644209102
25000,0.01168235209624122,0.0038254336110200445,0.0040342162260201386,0.02698598679206613
25250,0.2598614184908114,0.0015607680230501364,0.0016354908252647219,0.00839972207529271
25500,0.1587911313658571,0.0011366072082613457,0.0011837824952332875,0.003323433236941486
25750,0.06429603393336944,0.0013393440183617495,0.0013844417593787495,0.0015634332070804866
26000,0.0947583598477884,0.00268393099767064,0.0027410590380155643,8.377998183327385E-4
26250,0.39308572549340987,0.012497805192573212,0.012393862327112622,4.975170117217895E-4
26500,6.2125515172444805,5.165381010127993,2.7796655454149026,3.214818693089211E-4
26750,2.6596442378107983,0.08107853878743881,0.08915937691200226,2.232539027366648E-4
27000,0.09628386938354253,0.14450672474817558,0.15161024582941093,1.6520846135056818E-4
27250,0.013730317926015636,8.66716146605817,8.537200524996512,1.2952104890829797E-4
27500,0.0038441199753650106,0.20437998315464462,0.2306408074388459,1.071790852833267E-4
27750,0.0015906397623133065,0.004829551593782241,0.0052543529320885594,9.342887852509322E-5
28000,8.619866584326874E-4,6.139003452754818E-4,6.594507821137193E-4,8.576247763373101E-5
28250,5.760724098088345E-4,1.6070510943950477E-4,1.7139190933930038E-4,8.301365001183956E-5
28500,4.5984346626674975E-4,6.600578762186061E-5,7.003789171765849E-5,8.502099339698495E-5
28750,4.3102665267133613E-4,3.831465706884692E-5,4.048642523439851E-5,9.27070624116608E-5
29000,4.6973006521375737E-4,3.0396561296833538E-5,3.199597065822318E-5,1.0872342466487847E-4
