% Model,spaceplate_double_3d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 21 2025, 16:13"
% Table,Table 3 - transmitted field
% freq (Hz),"theta0=0, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=5, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=10, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=15, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=20, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=25, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=30, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=35, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=40, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=45, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=50, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=55, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=60, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=65, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=70, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=75, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=80, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=85, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))","theta0=90, abs(acpr.p_t)^2 (kg^2/(m^2*s^4))"
14250,0.9267746992533787,0.9038391574015705,0.8250598183966702,0.6830116778356838,0.530461675841271,0.4558068008365711,0.42496300962285005,0.25894310768048884,0.16040473686532825,0.3144301005656565,0.19612351157841643,0.08578929658149952,0.5213972341313574,0.05640256632572256,0.3397219841958614,0.06731648020090414,0.13869101451651722,0.02936198978777028,5.669055069898275E-4
14500,0.6195829412191904,0.6618754962392058,0.7895692833697144,0.9583736310177213,0.9099714494304496,0.643737686010325,0.5272851248972836,0.3453902909614519,0.1502250126802811,0.21559714374857064,0.23011963165515198,0.06035304490631771,0.38803194006232444,0.05344513440118868,0.15042489988462132,0.08084141501730181,0.06020148268063847,0.046401944572071765,5.699137684361828E-4
14750,0.14159143557179207,0.1536399989807618,0.1954404842817931,0.29302387263386337,0.5489868715929063,0.9591027063670862,0.7736274912504466,0.5456573715913605,0.1878484866399479,0.1609101256110873,0.2771013712722899,0.05157147984209025,0.23841456493205265,0.05829493225638034,0.07322591622262714,0.10681462578433819,0.03248167897295337,0.08380555668990126,5.896016511730236E-4
15000,0.041016089593939105,0.04421696585321844,0.05502947626735525,0.07767553855750044,0.12911229542822628,0.31869214689276165,0.8845468620296288,0.8578825176672534,0.32447901023691345,0.1429488203077652,0.3128060988146499,0.05244053439073007,0.13661035109155203,0.07202263261288475,0.04157275778671184,0.1536852496644158,0.020457108279746707,0.1777371519405667,6.288010946513804E-4
15250,0.015384710740584145,0.016512893868505837,0.020345981096601202,0.028059760106169004,0.04203798376564029,0.07992831494565399,0.28638563398803113,0.8232432279627143,0.7186138749243701,0.16364073446535202,0.3169081751896641,0.06283473027868547,0.0823536875017865,0.099202391754829,0.02703946448541136,0.23412238673108735,0.014407571831934987,0.3729484779693849,6.932202537611962E-4
15500,0.006821174343310865,0.007291558418843403,0.008929840397270832,0.012342124339578165,0.01800408668374143,0.02861042912809703,0.07585979206254591,0.3634684934657004,0.7949874696761474,0.26933368128845164,0.29747184842546287,0.08826481131572746,0.05533291187268922,0.14809809806783267,0.0197299770602662,0.3532579954745172,0.01106169805907491,0.3581237815521865,7.932925516031102E-4
15750,0.0033824623456142062,0.0035984453561550083,0.004369910170419336,0.006084120354042978,0.009067981844909057,0.013278111596223873,0.02648615408600339,0.12212367162527445,0.356899065445211,0.6889965869373177,0.2858087970588664,0.14374909463532476,0.0422556108140743,0.22624000924870888,0.015912078386122106,0.4776119620317929,0.009117049544830558,0.18660757485711063,9.481565619994117E-4
16000,0.0018143877079820291,0.0019205021138516505,0.002304355831625904,0.003208931617623223,0.004985889296064827,0.007311698885159833,0.011775580744842942,0.04299813762770439,0.17044455506568026,0.5897394701188015,0.3232785696662339,0.259946572601479,0.036937318434593636,0.3225320199688032,0.01405230353198783,0.5517769017043229,0.007990582248247498,0.10445405272642672,0.0011947371049479136
16250,0.0010300169516134325,0.0010857643486889344,0.001285593716748844,0.0017703811986257932,0.002853052635218978,0.004470197226426721,0.006322135768174937,0.017208891706272718,0.08941476274400928,0.17039070231444323,0.5055046977189903,0.4624116879201749,0.037220072386669106,0.3938898371524017,0.013521392756743003,0.5773139169173943,0.0074048830966242235,0.06882612678581088,0.0016107146358530543
16500,6.091690944801005E-4,6.409323837261073E-4,7.509750043137954E-4,0.0010138361208893239,0.0016570965838304285,0.0028695294979631312,0.003929035336260105,0.007970369978355233,0.046042776351326524,0.07512187549240981,0.8712124010830294,0.6803920959890697,0.043824190469841214,0.40039334502474067,0.014155954221270665,0.5801198296466035,0.007233424113225916,0.05172876195030858,0.0023819064859011757
16750,3.7071351766016777E-4,3.9054377652392766E-4,4.55928193938627E-4,6.024435187480109E-4,9.718038860955122E-4,0.0018491850489177342,0.002715478646502678,0.004269401848668107,0.022471458766545067,0.045785290819459125,0.30653452488853494,0.8029389134572567,0.06192696613808528,0.3439287126556125,0.016156742214778898,0.5412442531987014,0.007441066510504804,0.04309699451156095,0.00404748432146276
17000,2.2968886095525907E-4,2.4310303118168792E-4,2.8549341392096705E-4,3.7179468665520736E-4,5.79900400822865E-4,0.0011652609912375439,0.0019964200516722247,0.002622759986171631,0.010787968597234831,0.03367910273071368,0.08428959215583445,0.849173630431614,0.11044923215922785,0.2633101405398152,0.020216848826169535,0.4294777322286725,0.008068756200091386,0.039105882057005575,0.008756982792784298
17250,1.4345065937790917E-4,1.529691308558537E-4,1.8259457958569333E-4,2.3780128175144273E-4,3.562917777657614E-4,7.161609113966851E-4,0.0014857316372154862,0.0018227330038671572,0.005391379449169132,0.02676550557652111,0.034266137156403635,0.8296646282208111,0.26886706812552424,0.19691920992034934,0.028018867097653766,0.29004790687312887,0.009250598664943915,0.03828038072803819,0.03273466718925677
17500,8.936423827023863E-5,9.618728661775574E-5,1.1777289165151148E-4,1.5644797380015522E-4,2.2735338057824656E-4,4.3629877814824295E-4,0.0010682729327135816,0.001404835055204342,0.0029246244244545572,0.020640080400571068,0.018588866664073982,0.6101706245082212,0.7471966426418012,0.15716608577709226,0.04371804710714777,0.18547167206051435,0.011275958345285494,0.04027754089170337,0.4190246685171214
17750,5.483795682275632E-5,5.963374694944257E-5,7.539931068487309E-5,1.043886534908562E-4,1.5086420303055893E-4,2.6961696445794935E-4,7.219592246265621E-4,0.0011659261473763016,0.0017600082197085148,0.014206971572740187,0.01248594830296875,0.2715561563281489,0.5898191472942597,0.14260598473670186,0.07866231032939956,0.12328801229162378,0.014748997268914599,0.04561053533744184,0.030983135534569668
18000,3.2585591043727504E-5,3.583005302811357E-5,4.7002924470813664E-5,6.919616587228023E-5,1.0324394836424601E-4,1.722414587854817E-4,4.598067205920233E-4,9.983450947348021E-4,0.0011840153300556407,0.0085784200086953,0.009940099671386352,0.09850492734079684,0.2851626654350017,0.15499332939320495,0.16750409544625003,0.08889053390072661,0.021012274729910973,0.0559439155681721,0.008425930100376068
18250,1.8254436374782234E-5,2.0345642637177108E-5,2.7860108848888244E-5,4.437008114216628E-5,7.149764910534583E-5,1.1478049250130566E-4,2.8351612670794626E-4,8.3470752684609E-4,8.893544658891084E-4,0.004782989426693508,0.009080507848470774,0.03911824153661525,0.18971900008692824,0.21614099086578556,0.40657376652200555,0.07052547138214775,0.03341949933700678,0.07526283343718229,0.003909392930190643
18500,9.183298298180616E-6,1.0455206960086857E-5,1.517871407266524E-5,2.664309274417531E-5,4.8606624266889574E-5,7.951888006809419E-5,1.7505965971045584E-4,6.45687463555964E-4,7.397596833013014E-4,0.002649678679968534,0.009184048964589958,0.018274255635608132,0.16442774411481878,0.42883306175864033,0.7605956513136382,0.06193661144364019,0.06192011072935436,0.11334197544754906,0.0023060994912935872
18750,3.7254776635073013E-6,4.433315297225379E-6,7.147707454161648E-6,1.435485632876998E-5,3.1111324071370156E-5,5.6272476740572264E-5,1.1108001053776974E-4,4.493205846688246E-4,6.698900278211113E-4,0.001543096367464885,0.009743843795894925,0.010022262366490542,0.16862687738418322,0.8672404894138429,0.7051994514840296,0.060620358295675074,0.1437524883105037,0.19601151989836876,0.001566300391652808
19000,8.661912203066388E-7,1.1803333014392026E-6,2.4972238039401825E-6,6.442170842272839E-6,1.7744520354464383E-5,3.9282332437065215E-5,7.326151836673032E-5,2.8479292160852286E-4,6.402874094287217E-4,9.753902025845682E-4,0.009976469838420926,0.006365132718989183,0.18413460637085322,0.34275140745452937,0.5504711879563103,0.06700806436651155,0.4333583263020467,0.3840840956659032,0.00117170791112704
19250,2.020148937914011E-12,1.979582345013942E-8,3.3965754831203356E-7,1.9766756637407566E-6,8.29969458493104E-6,2.55449012861753E-5,4.9948273366391146E-5,1.710741601255291E-4,6.137280724237442E-4,6.788532777920314E-4,0.008920907693571524,0.00462499347978827,0.18653384364016082,0.11332352621346864,0.5061641421759073,0.0858699343479445,0.6587596365137942,0.627297233100577,9.434615127280551E-4
19500,7.997470552181002E-7,5.827582019165562E-7,1.2716803294848603E-7,1.3802746925181006E-7,2.6281268328517113E-6,1.4134313308144076E-5,3.428916532173624E-5,1.0136756598471255E-4,5.495301609936952E-4,5.222002950780472E-4,0.006560093142233513,0.003811356577678659,0.1521472847706188,0.053638583805943114,0.5554523486873736,0.13429440814727503,0.292067497666465,0.48135970140924034,8.073450334133044E-4
