% Model,spaceplate_double_3d_PA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 14 2025, 08:46"
% Table,Table 5 - Surface Average 2
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
22750,9.435746825208029E-4
22800,9.424291974431616E-4
22850,9.419133106437412E-4
22900,9.420270544309362E-4
22950,9.427726591902968E-4
23000,9.441545977478026E-4
23050,9.461796391757945E-4
23100,9.488569125486109E-4
23150,9.521979813185881E-4
23200,9.562169291583269E-4
23250,9.609304583124047E-4
23300,9.663580021344344E-4
23350,9.725218507394739E-4
23400,9.794472979124775E-4
23450,9.871628027574577E-4
23500,9.957001748521518E-4
23550,0.0010050947830457142
23600,0.0010153857914460389
23650,0.0010266164261786192
23700,0.0010388342770343464
23750,0.001052091638742213
23800,0.001066445897315693
23850,0.0010819599677642198
23900,0.0010987027904337482
23950,0.0011167498944008518
24000,0.0011361840377051072
24050,0.0011570959358218674
24100,0.0011795850917040846
24150,0.001203760742320971
24200,0.001229742944262212
24250,0.0012576638096756132
24300,0.001287668932080569
24350,0.0013199190222342942
24400,0.0013545917945706018
24450,0.0013918841470979856
24500,0.001432014687065443
24550,0.001475226665554904
24600,0.001521791397214602
24650,0.0015720122582602177
24700,0.001626229375896127
24750,0.0016848251483185933
24800,0.0017482307666379874
24850,0.0018169339509379657
24900,0.001891488164655493
24950,0.001972523637970529
25000,0.002060760616524574
25050,0.0021570253627951866
25100,0.00226226958234109
25150,0.0023775941376548977
25200,0.0025042781648343293
25250,0.002643815045604627
25300,0.0027979571418736775
25350,0.0029687718184231416
25400,0.003158712128871944
25450,0.0033707067191840637
25500,0.0036082751578836118
25550,0.0038756772522597236
25600,0.00417810829043925
25650,0.00452195708041145
25700,0.004915150960105134
25750,0.0053676229433286754
25800,0.005891952992426311
25850,0.006504261656323969
25900,0.007225476120107863
25950,0.008083156845715407
26000,0.009114186841843609
26050,0.01036882122300048
26100,0.011916941365067596
26150,0.013857993862621692
26200,0.016337307366513447
26250,0.019573898260854317
26300,0.023909945587406424
26350,0.02990337873352094
26400,0.03851177813005779
26450,0.0514844691049178
26500,0.07227228002133597
26550,0.10835858500420739
26600,0.17789478127374736
26650,0.32946159097764993
26700,0.6712097646987165
26750,0.9969703907145903
26800,0.6284291740099847
26850,0.3058723169258715
26900,0.16528118163803043
26950,0.1005495782728647
27000,0.06682820360714595
27050,0.0473647542502917
27100,0.035214323759147924
27150,0.02715827804006245
27200,0.02155885914451373
27250,0.01751720595354764
27300,0.014508700510765356
27350,0.01221126569832344
27400,0.010418653797546104
27450,0.00899400240232114
27500,0.00784368569393121
27550,0.006901949829786252
27600,0.006121545330200645
27650,0.005467828837122956
27700,0.004914942673328449
27750,0.004443277391147911
27800,0.004037748384872672
27850,0.0036866015959121797
27900,0.0033805708521010354
27950,0.003112273475730843
28000,0.002875770200438009
28050,0.0026662403982971963
28100,0.002479739340285946
28150,0.0023130146802848904
28200,0.0021633662208379784
28250,0.0020285376886169403
28300,0.0019066324414854425
28350,0.0017960472497751698
28400,0.0016954198567391537
28450,0.001603587141030576
28500,0.0015195514928808102
28550,0.0014424536222052845
28600,0.001371550416956403
28650,0.0013061968220239432
28700,0.0012458309080919648
28750,0.0011899615149278593
28800,0.0011381579687329874
28850,0.0010900414850364031
28900,0.0010452779479553486
28950,0.0010035718192162046
29000,9.6466097911012E-4
29050,9.283123398714486E-4
29100,8.943181022060175E-4
29150,8.624925497217066E-4
29200,8.326692951278215E-4
29250,8.046989074488366E-4
29300,7.784468618100426E-4
29350,7.537917633526368E-4
29400,7.306238049335935E-4
29450,7.088434248647273E-4
29500,6.883601363527308E-4
29550,6.690915047424396E-4
29600,6.509622523321629E-4
29650,6.339034735655738E-4
29700,6.178519459366248E-4
29750,6.027495240584704E-4
29800,5.885426061256063E-4
29850,5.751816635009244E-4
29900,5.626208254332414E-4
29950,5.50817511999215E-4
30000,5.397321092943497E-4
