% Model,spaceplate_double_3d_PA.mph
% Version,COMSOL 6.2.0.415
% Date,"Aug 5 2025, 16:35"
% Table,Table 4 - Surface Average 2
% freq (Hz),abs(acpr2.p_t)^2 (kg^2/(m^2*s^4))
10775,0.09482997522752268
10780,0.09367252275265577
10785,0.09253455010539693
10790,0.09141565058681207
10795,0.09031542738718161
10800,0.0892334933202745
10805,0.0881694705653625
10810,0.08712299041629919
10815,0.08609369303756172
10820,0.08508122722731083
10825,0.08408525018694195
10830,0.08310542729725942
10835,0.08214143190080173
10840,0.08119294509042307
10845,0.08025965550375022
10850,0.07934125912349947
10855,0.07843745908340802
10860,0.07754796547958753
10865,0.07667249518727298
10870,0.07581077168273308
10875,0.07496252487012249
10880,0.07412749091334933
10885,0.07330541207259446
10890,0.07249603654542172
10895,0.07169911831245562
10900,0.07091441698726564
10905,0.07014169767066017
10910,0.06938073080882956
10915,0.06863129205572163
10920,0.06789316213910393
10925,0.06716612673043966
10930,0.06644997631841923
10935,0.06574450608593398
10940,0.06504951579065266
10945,0.0643648096487474
10950,0.06369019622199691
10955,0.06302548830769102
10960,0.06237050283287931
10965,0.061725060748650556
10970,0.061088986931029085
10975,0.06046211008192406
10980,0.05984426263384109
10985,0.05923528065704138
10990,0.058635003769306845
10995,0.05804327504809112
11000,0.05745994094515003
11005,0.05688485120344942
11010,0.05631785877637742
11015,0.055758819749116825
11020,0.05520759326222351
11025,0.05466404143715987
11030,0.0541280293039587
11035,0.053599424730745394
11040,0.053078098355215625
11045,0.05256392351795131
11050,0.05205677619748076
11055,0.051556534947133976
11060,0.05106308083350723
11065,0.05057629737665821
11070,0.05009607049184586
11075,0.04962228843276454
11080,0.04915484173633504
11085,0.048693623169025924
11090,0.04823852767433451
11095,0.04778945232206362
11100,0.04734629625835809
11105,0.04690896065774554
11110,0.04647734867578887
11115,0.04605136540315531
11120,0.045630917821464355
11125,0.045215914758902166
11130,0.04480626684881136
11135,0.0444018864876375
11140,0.0440026877951305
11145,0.043608586574940905
11150,0.04321950027648575
11155,0.0428353479577219
11160,0.04245605024884599
11165,0.04208152931694221
11170,0.041711708831535015
11175,0.041346513930959686
11180,0.04098587118964169
11185,0.04062970858615445
11190,0.040277955472094576
11195,0.03993054254175027
11200,0.039587401802467906
11205,0.039248466545831376
11210,0.038913671319532384
11215,0.038582951899822436
11220,0.0382562452648458
11225,0.03793348956859956
11230,0.03761462411521529
11235,0.03729958933435411
11240,0.03698832675681729
11245,0.03668077899099115
11250,0.036376889699813404
11255,0.03607660357769494
11260,0.03577986632979151
11265,0.03548662464919553
11270,0.03519682619683859
11275,0.03491041958072625
11280,0.034627354336152306
11285,0.03434758090615559
11290,0.034071050622546124
11295,0.03379771568732647
11300,0.03352752915460935
11305,0.03326044491292369
11310,0.032996417667944304
11315,0.03273540292560763
11320,0.03247735697567441
11325,0.03222223687563442
11330,0.031970000434971134
11335,0.03172060619986215
11340,0.031474013438134885
11345,0.031230182124654303
11350,0.030989072927023853
11355,0.03075064719158372
11360,0.030514866929759323
11365,0.03028169480471232
11370,0.03005109411832225
11375,0.029823028798410554
11380,0.02959746338628929
11385,0.02937436302460264
11390,0.02915369344542797
11395,0.028935420958603974
11400,0.02871951244041724
11405,0.028505935322419077
11410,0.028294657580633216
11415,0.02808564772487392
11420,0.02787887478834615
11425,0.027674308317550175
11430,0.02747191836227519
11435,0.027271675465911374
11440,0.027073550655946365
11445,0.02687751543467773
11450,0.0266835417700996
11455,0.026491602087020193
11460,0.026301669258361797
11465,0.02611371659664424
11470,0.02592771784566169
11475,0.02574364717232836
11480,0.02556147915871207
11485,0.025381188794228703
11490,0.025202751468005196
11495,0.02502614296141421
11500,0.02485133944076224
11505,0.024678317450120797
11510,0.024507053904331763
11515,0.02433752608214714
11520,0.024169711619520806
11525,0.02400358850302811
11530,0.023839135063437534
11535,0.023676329969413008
11540,0.02351515222134193
11545,0.02335558114530057
11550,0.02319759638713331
11555,0.02304117790667683
11560,0.022886305972067766
11565,0.022732961154200877
11570,0.022581124321296015
11575,0.022430776633543932
11580,0.02228189953791279
11585,0.022134474763024093
11590,0.021988484314123414
11595,0.02184391046823426
11600,0.021700735769266746
11605,0.02155894302336961
11610,0.021418515294290362
11615,0.021279435898848058
11620,0.021141688402516155
11625,0.021005256615058518
11630,0.02087012458629516
11635,0.020736276601910384
11640,0.020603697179370814
11645,0.02047237106391813
11650,0.020342283224638012
11655,0.020213418850608067
11660,0.020085763347120696
11665,0.01995930233198227
11670,0.019834021631885308
11675,0.01970990727884356
11680,0.019586945506708208
11685,0.019465122747744538
11690,0.019344425629273278
11695,0.019224840970387392
11700,0.019106355778717627
11705,0.018988957247268942
11710,0.01887263275132002
11715,0.018757369845373247
11720,0.0186431562601725
11725,0.01852997989976963
11730,0.018417828838650948
11735,0.018306691318925757
11740,0.018196555747543208
11745,0.01808741069359583
11750,0.017979244885645396
11755,0.01787204720911226
11760,0.017765806703718266
11765,0.017660512560959386
11770,0.01755615412164596
11775,0.01745272087347492
11780,0.01735020244865313
11785,0.01724858862156409
11790,0.017147869306472868
11795,0.01704803455528755
11800,0.016949074555335637
11805,0.01685097962721493
11810,0.016753740222653586
11815,0.016657346922427888
11820,0.016561790434310858
11825,0.016467061591055845
11830,0.01637315134842935
11835,0.016280050783259992
11840,0.01618775109153804
11845,0.016096243586543806
11850,0.016005519697010168
11855,0.015915570965316077
11860,0.015826389045716614
11865,0.015737965702601643
11870,0.015650292808786718
11875,0.015563362343830649
11880,0.015477166392387231
11885,0.015391697142589825
11890,0.015306946884455441
11895,0.015222908008315767
11900,0.015139573003294465
11905,0.015056934455784004
11910,0.014974985047969834
11915,0.014893717556381737
11920,0.014813124850436442
11925,0.01473319989106122
11930,0.014653935729292135
11935,0.014575325504923064
11940,0.014497362445170197
11945,0.014420039863358228
11950,0.01434335115763205
11955,0.014267289809689257
11960,0.014191849383537718
11965,0.014117023524266768
11970,0.014042805956845091
11975,0.01396919048494047
11980,0.013896170989753293
11985,0.013823741428876365
11990,0.01375189583516858
11995,0.013680628315655856
12000,0.013609933050433894
12005,0.013539804291607992
12010,0.013470236362247798
12015,0.013401223655343072
12020,0.013332760632795515
12025,0.013264841824413835
12030,0.013197461826950885
12035,0.013130615303106517
12040,0.01306429698060693
12045,0.012998501651253231
12050,0.012933224170014579
12055,0.012868459454114063
12060,0.012804202482147527
12065,0.012740448293207036
12070,0.01267719198602116
12075,0.012614428718108476
12080,0.012552153704947975
12085,0.012490362219156816
12090,0.01242904958969011
12095,0.012368211201041387
12100,0.012307842492473714
12105,0.012247938957241666
12110,0.012188496141843457
12115,0.012129509645277443
