% Model,spaceplate_single_2d.mph
% Version,COMSOL 6.2.0.415
% Date,"Jul 14 2025, 11:58"
% Table,Table 11 - Line Average 2
% freq (Hz),abs(acpr.p_t)^2 (kg^2/(m^2*s^4)),abs(acpr.p_s)^2 (kg^2/(m^2*s^4))
24200,0.7950370394518711,0.2045277667842077
24400,0.8470255350831692,0.15235028098046793
24600,0.8960821484664052,0.10311808626968393
24800,0.9390750952127445,0.06002378484473395
25000,0.9725633708103884,0.026527479142493607
25200,0.993326347505957,0.005815703483873018
25400,0.9990193692009876,1.645201602655101E-4
25600,0.9887386325152906,0.01041673201233819
25800,0.9632620087822475,0.03578213059741539
26000,0.9248573348615744,0.07404216861167809
26200,0.8767473328539233,0.12205995985350936
26400,0.8224557152266496,0.17638557414105635
26600,0.7652555355144184,0.23376358088312404
26800,0.7078359663509917,0.29144980311067487
27000,0.652188142879129,0.3473433576569865
27200,0.5996444599372511,0.3999898971279952
27400,0.5509940306512362,0.44851468285201374
27600,0.5066161369385924,0.4925248580500016
27800,0.46659962487765017,0.5320005768269574
28000,0.43083675425995943,0.567183552455761
28200,0.3990920003721319,0.5984687586170707
28400,0.3710513368102344,0.6263062979151092
28600,0.3463582978415496,0.6511218449777559
28800,0.3246418559866477,0.6732633647394372
29000,0.3055392471472577,0.6929785949835584
29200,0.28871503630334444,0.7104227848157325
29400,0.2738762550770835,0.7256905791613933
29600,0.26078253717562827,0.7388610534816134
29800,0.24924997817424174,0.7500420790278967
30000,0.23914801089110668,0.7594005770824348
30200,0.2303897556594432,0.76716923430178
30400,0.22291766136372823,0.7736271259275886
30600,0.21668728669919443,0.779059451066156
30800,0.21165243529895816,0.7837077762546685
31000,0.20775453239271527,0.7877249673537886
31200,0.20491834145203172,0.7911478067592069
31400,0.2030551016533409,0.793895763192744
31600,0.20207298489322703,0.7957977154763686
31800,0.20189337218027656,0.7966409965384612
32000,0.20246991776400583,0.796230449104257
32200,0.20380613900265634,0.7944410817044407
32400,0.20596702074719567,0.791248138692462
32600,0.20908132054316408,0.7867237259667983
32800,0.21333368223795715,0.7809984641352284
33000,0.21894840332047083,0.7741970353161367
33200,0.22616876620419818,0.7663644276947719
33400,0.23523687000329105,0.7574026965633518
33600,0.24637929470631867,0.7470355286648103
33800,0.25980428878982903,0.7348105661942407
34000,0.27571642776047084,0.72013861039493
34200,0.2943537433466469,0.7023563468380076
34400,0.31604863776800746,0.6807884239517585
34600,0.3413068767649514,0.654780477041406
34800,0.37088983760295685,0.6236815801323101
35000,0.4058758817661352,0.5867740431777336
35200,0.4476665485613463,0.5431784993404885
35400,0.4978865723579306,0.49180117015938996
35600,0.5580960242536935,0.43143950844949647
35800,0.6291920512303596,0.36121885063834563
36000,0.7103695684114458,0.2815584975776089
36200,0.7976524134860059,0.19573785719843584
36400,0.8824703280203359,0.11164082098015582
36600,0.9515171466606255,0.04235539477793767
36800,0.9894470770659871,0.0037447628807580745
37000,0.9845295221918171,0.008480911259759813
37200,0.9343578624503964,0.05951545319397074
37400,0.8473991960229922,0.14792672217578745
37600,0.7391381054848845,0.25703723939628725
37800,0.6258129398483884,0.3695669946274713
38000,0.5196802347246519,0.473079740541555
38200,0.42744945676273544,0.5616049444148951
38400,0.351135773849823,0.634338277507777
38600,0.28981156847668016,0.6933393861488474
38800,0.24118894791606804,0.7415628435079888
39000,0.20265764847504683,0.7816627172576135
39200,0.17182483879096697,0.81548555910819
39400,0.14673140382103822,0.8440240568912742
39600,0.12589566624640383,0.8676364524249536
39800,0.10827423688548295,0.8863914236591227
40000,0.09318234501909067,0.9004234408544093
